Region,Country,State,City,Month,Day,Year,AvgTemperature,Date
Africa,Algeria,,Algiers,1,1,1995,64.2,1995-01-01
Africa,Algeria,,Algiers,1,2,1995,49.4,1995-01-02
Africa,Algeria,,Algiers,1,3,1995,48.8,1995-01-03
Africa,Algeria,,Algiers,1,4,1995,46.4,1995-01-04
Africa,Algeria,,Algiers,1,5,1995,47.9,1995-01-05
Africa,Algeria,,Algiers,1,6,1995,48.7,1995-01-06
Africa,Algeria,,Algiers,1,7,1995,48.9,1995-01-07
Africa,Algeria,,Algiers,1,8,1995,49.1,1995-01-08
Africa,Algeria,,Algiers,1,9,1995,49.0,1995-01-09
Africa,Algeria,,Algiers,1,10,1995,51.9,1995-01-10
Africa,Algeria,,Algiers,1,11,1995,51.7,1995-01-11
Africa,Algeria,,Algiers,1,12,1995,51.3,1995-01-12
Africa,Algeria,,Algiers,1,13,1995,47.0,1995-01-13
Africa,Algeria,,Algiers,1,14,1995,46.9,1995-01-14
Africa,Algeria,,Algiers,1,15,1995,47.5,1995-01-15
Africa,Algeria,,Algiers,1,16,1995,45.9,1995-01-16
Africa,Algeria,,Algiers,1,17,1995,44.5,1995-01-17
Africa,Algeria,,Algiers,1,18,1995,50.7,1995-01-18
Africa,Algeria,,Algiers,1,19,1995,54.0,1995-01-19
Africa,Algeria,,Algiers,1,20,1995,52.6,1995-01-20
Africa,Algeria,,Algiers,1,21,1995,54.2,1995-01-21
Africa,Algeria,,Algiers,1,22,1995,51.0,1995-01-22
Africa,Algeria,,Algiers,1,23,1995,53.5,1995-01-23
Africa,Algeria,,Algiers,1,24,1995,54.2,1995-01-24
Africa,Algeria,,Algiers,1,25,1995,54.2,1995-01-25
Africa,Algeria,,Algiers,1,26,1995,52.6,1995-01-26
Africa,Algeria,,Algiers,1,27,1995,55.5,1995-01-27
Africa,Algeria,,Algiers,1,28,1995,53.8,1995-01-28
Africa,Algeria,,Algiers,1,29,1995,54.3,1995-01-29
Africa,Algeria,,Algiers,1,30,1995,57.4,1995-01-30
Africa,Algeria,,Algiers,1,31,1995,56.9,1995-01-31
Africa,Algeria,,Algiers,2,1,1995,50.4,1995-02-01
Africa,Algeria,,Algiers,2,2,1995,50.1,1995-02-02
Africa,Algeria,,Algiers,2,3,1995,54.1,1995-02-03
Africa,Algeria,,Algiers,2,4,1995,49.1,1995-02-04
